Time-stamp [msec];average number of samplings per node;average hopcount of received frames;average number of received sourced frames per node;relative delivery error [%];average energy of nodes [%];average communication energy of nodes [%];average number of extreme samplings per node;rate of alive nodes [%]
6300;0.608333;4.042857;0.583333;4.109589;89.264785;5.336665;0.066667;100.000000
6400;0.616667;4.028169;0.591667;4.054054;89.205381;5.390359;0.075000;100.000000
6500;0.625000;3.986111;0.600000;4.000000;89.198526;5.396463;0.083333;100.000000
6600;0.625000;3.986111;0.600000;4.000000;89.198510;5.396463;0.083333;100.000000
6700;0.625000;3.986111;0.600000;4.000000;89.198494;5.396463;0.083333;100.000000
6800;0.625000;3.986111;0.600000;4.000000;89.198478;5.396463;0.083333;100.000000
6900;0.625000;3.986111;0.600000;4.000000;89.198463;5.396463;0.083333;100.000000
7000;0.625000;3.986111;0.600000;4.000000;89.198447;5.396463;0.083333;100.000000
7100;0.625000;3.986111;0.600000;4.000000;89.198431;5.396463;0.083333;100.000000
7200;0.625000;3.986111;0.600000;4.000000;89.198416;5.396463;0.083333;100.000000
7300;0.625000;3.986111;0.600000;4.000000;89.198400;5.396463;0.083333;100.000000
7400;0.625000;3.986111;0.600000;4.000000;89.198384;5.396463;0.083333;100.000000
7500;0.625000;3.986111;0.600000;4.000000;89.198369;5.396463;0.083333;100.000000
7600;0.625000;3.986111;0.600000;4.000000;89.198353;5.396463;0.083333;100.000000
7700;0.625000;3.986111;0.600000;4.000000;89.198337;5.396463;0.083333;100.000000
7800;0.625000;3.986111;0.600000;4.000000;89.198321;5.396463;0.083333;100.000000
7900;0.625000;3.986111;0.600000;4.000000;89.198306;5.396463;0.083333;100.000000
8000;0.625000;3.986111;0.600000;4.000000;89.198290;5.396463;0.083333;100.000000
8100;0.625000;3.986111;0.600000;4.000000;89.198274;5.396463;0.083333;100.000000
8200;0.625000;3.986111;0.600000;4.000000;89.198259;5.396463;0.083333;100.000000
8300;0.625000;3.986111;0.600000;4.000000;89.198243;5.396463;0.083333;100.000000
8400;0.625000;3.986111;0.600000;4.000000;89.198227;5.396463;0.083333;100.000000
8500;0.625000;3.986111;0.600000;4.000000;89.198211;5.396463;0.083333;100.000000
8600;0.625000;3.986111;0.600000;4.000000;89.198196;5.396463;0.083333;100.000000
8700;0.625000;3.986111;0.600000;4.000000;89.198180;5.396463;0.083333;100.000000
8800;0.625000;3.986111;0.600000;4.000000;89.198164;5.396463;0.083333;100.000000
8900;0.625000;3.986111;0.600000;4.000000;89.198149;5.396463;0.083333;100.000000
9000;0.625000;3.986111;0.600000;4.000000;89.198133;5.396463;0.083333;100.000000
9100;0.625000;3.986111;0.600000;4.000000;89.198117;5.396463;0.083333;100.000000
9200;0.633333;3.972603;0.608333;3.947368;89.146171;5.443362;0.091667;100.000000
9300;0.641667;3.972603;0.608333;5.194805;89.098553;5.483357;0.100000;100.000000
9400;0.641667;3.972603;0.608333;5.194805;89.098284;5.483359;0.100000;100.000000
