Time-stamp [msec];average number of samplings per node;average hopcount of received frames;average number of received sourced frames per node;relative delivery error [%];average energy of nodes [%];average communication energy of nodes [%];average number of extreme samplings per node;rate of alive nodes [%]
324200;5.516667;3.075871;3.350000;39.274924;42.811814;26.108340;2.641667;90.000000
324300;5.516667;3.075871;3.350000;39.274924;42.811800;26.108340;2.641667;90.000000
324400;5.516667;3.075871;3.350000;39.274924;42.811785;26.108340;2.641667;90.000000
324500;5.516667;3.075871;3.350000;39.274924;42.811771;26.108340;2.641667;90.000000
324600;5.516667;3.075871;3.350000;39.274924;42.811757;26.108340;2.641667;90.000000
324700;5.525000;3.075871;3.350000;39.366516;42.811613;26.108345;2.650000;90.000000
324800;5.525000;3.075871;3.350000;39.366516;42.811598;26.108345;2.650000;90.000000
324900;5.525000;3.075871;3.350000;39.366516;42.811584;26.108345;2.650000;90.000000
325000;5.533333;3.075871;3.350000;39.457831;42.788853;26.127073;2.658333;90.000000
325100;5.533333;3.075871;3.350000;39.457831;42.788366;26.127074;2.658333;90.000000
325200;5.533333;3.075871;3.350000;39.457831;42.788352;26.127074;2.658333;90.000000
325300;5.533333;3.075871;3.350000;39.457831;42.788338;26.127074;2.658333;90.000000
325400;5.533333;3.075871;3.350000;39.457831;42.788324;26.127074;2.658333;90.000000
325500;5.533333;3.075871;3.350000;39.457831;42.788309;26.127074;2.658333;90.000000
325600;5.533333;3.075871;3.350000;39.457831;42.788295;26.127074;2.658333;90.000000
325700;5.533333;3.075871;3.350000;39.457831;42.788281;26.127074;2.658333;90.000000
325800;5.541667;3.070720;3.358333;39.398496;42.786085;26.128944;2.666667;90.000000
325900;5.541667;3.070720;3.358333;39.398496;42.786071;26.128944;2.666667;90.000000
326000;5.541667;3.070720;3.358333;39.398496;42.786057;26.128944;2.666667;90.000000
326100;5.541667;3.070720;3.358333;39.398496;42.786043;26.128944;2.666667;90.000000
326200;5.541667;3.070720;3.358333;39.398496;42.786029;26.128944;2.666667;90.000000
326300;5.541667;3.070720;3.358333;39.398496;42.786015;26.128944;2.666667;90.000000
326400;5.541667;3.070720;3.358333;39.398496;42.786000;26.128944;2.666667;90.000000
326500;5.541667;3.070720;3.358333;39.398496;42.785986;26.128944;2.666667;90.000000
326600;5.541667;3.070720;3.358333;39.398496;42.785972;26.128944;2.666667;90.000000
326700;5.541667;3.070720;3.358333;39.398496;42.785958;26.128944;2.666667;90.000000
326800;5.541667;3.070720;3.358333;39.398496;42.785944;26.128944;2.666667;90.000000
326900;5.541667;3.070720;3.358333;39.398496;42.785930;26.128944;2.666667;90.000000
327000;5.541667;3.070720;3.358333;39.398496;42.785916;26.128944;2.666667;90.000000
327100;5.541667;3.070720;3.358333;39.398496;42.785902;26.128944;2.666667;90.000000
327200;5.541667;3.070720;3.358333;39.398496;42.785887;26.128944;2.666667;90.000000
327300;5.541667;3.070720;3.358333;39.398496;42.785873;26.128944;2.666667;90.000000
327400;5.541667;3.070720;3.358333;39.398496;42.785859;26.128944;2.666667;90.000000
327500;5.541667;3.070720;3.358333;39.398496;42.785845;26.128944;2.666667;90.000000
327600;5.550000;3.070720;3.358333;39.489489;42.768429;26.143008;2.675000;90.000000
327700;5.550000;3.073020;3.366667;39.339339;42.710476;26.196678;2.675000;90.000000
327800;5.550000;3.073020;3.366667;39.339339;42.710462;26.196678;2.675000;90.000000
327900;5.550000;3.073020;3.366667;39.339339;42.710448;26.196678;2.675000;90.000000
328000;5.550000;3.073020;3.366667;39.339339;42.710434;26.196678;2.675000;90.000000
328100;5.550000;3.073020;3.366667;39.339339;42.710420;26.196678;2.675000;90.000000
328200;5.550000;3.073020;3.366667;39.339339;42.710406;26.196678;2.675000;90.000000
328300;5.550000;3.073020;3.366667;39.339339;42.710392;26.196678;2.675000;90.000000
328400;5.550000;3.073020;3.366667;39.339339;42.710378;26.196678;2.675000;90.000000
328500;5.550000;3.073020;3.366667;39.339339;42.710363;26.196678;2.675000;90.000000
328600;5.550000;3.073020;3.366667;39.339339;42.710349;26.196678;2.675000;90.000000
328700;5.550000;3.073020;3.366667;39.339339;42.710335;26.196678;2.675000;90.000000
328800;5.550000;3.073020;3.366667;39.339339;42.710321;26.196678;2.675000;90.000000
328900;5.550000;3.073020;3.366667;39.339339;42.710307;26.196678;2.675000;90.000000
329000;5.558333;3.073020;3.366667;39.430285;42.710162;26.196682;2.683333;90.000000
329100;5.558333;3.073020;3.366667;39.430285;42.710148;26.196682;2.683333;90.000000
329200;5.558333;3.073020;3.366667;39.430285;42.710134;26.196682;2.683333;90.000000
329300;5.558333;3.073020;3.366667;39.430285;42.710120;26.196682;2.683333;90.000000
329400;5.558333;3.073020;3.366667;39.430285;42.710106;26.196682;2.683333;90.000000
329500;5.575000;3.073020;3.366667;39.611360;42.709831;26.196691;2.700000;90.000000
329600;5.575000;3.073020;3.366667;39.611360;42.709816;26.196691;2.700000;90.000000
329700;5.575000;3.073020;3.366667;39.611360;42.709802;26.196691;2.700000;90.000000
329800;5.575000;3.073020;3.366667;39.611360;42.709788;26.196691;2.700000;90.000000
329900;5.575000;3.073020;3.366667;39.611360;42.709774;26.196691;2.700000;90.000000
330000;5.583333;3.070370;3.375000;39.552239;42.683840;26.220049;2.708333;90.000000
330100;5.583333;3.070370;3.375000;39.552239;42.683826;26.220049;2.708333;90.000000
330200;5.583333;3.070370;3.375000;39.552239;42.683812;26.220049;2.708333;90.000000
330300;5.583333;3.070370;3.375000;39.552239;42.683798;26.220049;2.708333;90.000000
330400;5.583333;3.070370;3.375000;39.552239;42.683784;26.220049;2.708333;90.000000
330500;5.583333;3.070370;3.375000;39.552239;42.683769;26.220049;2.708333;90.000000
330600;5.583333;3.070370;3.375000;39.552239;42.683755;26.220049;2.708333;90.000000
330700;5.583333;3.070370;3.375000;39.552239;42.683741;26.220049;2.708333;90.000000
330800;5.583333;3.070370;3.375000;39.552239;42.683727;26.220049;2.708333;90.000000
330900;5.583333;3.070370;3.375000;39.552239;42.683713;26.220049;2.708333;90.000000
331000;5.583333;3.070370;3.375000;39.552239;42.683699;26.220049;2.708333;90.000000
331100;5.583333;3.070370;3.375000;39.552239;42.683685;26.220049;2.708333;90.000000
331200;5.583333;3.070370;3.375000;39.552239;42.683670;26.220049;2.708333;90.000000
331300;5.583333;3.070370;3.375000;39.552239;42.683656;26.220049;2.708333;90.000000
331400;5.583333;3.070370;3.375000;39.552239;42.683642;26.220049;2.708333;90.000000
331500;5.583333;3.070370;3.375000;39.552239;42.683628;26.220049;2.708333;90.000000
331600;5.583333;3.070370;3.375000;39.552239;42.683614;26.220049;2.708333;90.000000
331700;5.583333;3.070370;3.375000;39.552239;42.683600;26.220049;2.708333;90.000000
331800;5.583333;3.070370;3.375000;39.552239;42.683586;26.220049;2.708333;90.000000
331900;5.583333;3.070370;3.375000;39.552239;42.683572;26.220049;2.708333;90.000000
332000;5.583333;3.070370;3.375000;39.552239;42.683557;26.220049;2.708333;90.000000
332100;5.583333;3.070370;3.375000;39.552239;42.683543;26.220049;2.708333;90.000000
332200;5.583333;3.070370;3.375000;39.552239;42.683529;26.220049;2.708333;90.000000
332300;5.583333;3.070370;3.375000;39.552239;42.683515;26.220049;2.708333;90.000000
332400;5.591667;3.070370;3.375000;39.642325;42.683370;26.220054;2.716667;90.000000
332500;5.591667;3.070370;3.375000;39.642325;42.683356;26.220054;2.716667;90.000000
332600;5.591667;3.070370;3.375000;39.642325;42.683342;26.220054;2.716667;90.000000
332700;5.591667;3.070370;3.375000;39.642325;42.683328;26.220054;2.716667;90.000000
332800;5.600000;3.070370;3.375000;39.732143;42.683183;26.220058;2.725000;90.000000
332900;5.600000;3.070370;3.375000;39.732143;42.683169;26.220058;2.725000;90.000000
333000;5.600000;3.070370;3.375000;39.732143;42.683155;26.220058;2.725000;90.000000
333100;5.600000;3.070370;3.375000;39.732143;42.683141;26.220058;2.725000;90.000000
333200;5.600000;3.070370;3.375000;39.732143;42.683127;26.220058;2.725000;90.000000
333300;5.600000;3.070370;3.375000;39.732143;42.683113;26.220058;2.725000;90.000000
333400;5.600000;3.070370;3.375000;39.732143;42.683099;26.220058;2.725000;90.000000
333500;5.600000;3.070370;3.375000;39.732143;42.683084;26.220058;2.725000;90.000000
333600;5.600000;3.070370;3.375000;39.732143;42.683070;26.220058;2.725000;90.000000
333700;5.600000;3.070370;3.375000;39.732143;42.683056;26.220058;2.725000;90.000000
333800;5.600000;3.070370;3.375000;39.732143;42.683042;26.220058;2.725000;90.000000
333900;5.600000;3.070370;3.375000;39.732143;42.683028;26.220058;2.725000;90.000000
334000;5.600000;3.070370;3.375000;39.732143;42.683014;26.220058;2.725000;90.000000
334100;5.600000;3.070370;3.375000;39.732143;42.683000;26.220058;2.725000;90.000000
334200;5.600000;3.070370;3.375000;39.732143;42.682985;26.220058;2.725000;90.000000
334300;5.608333;3.070370;3.375000;39.821694;42.682841;26.220063;2.733333;90.000000
334400;5.608333;3.070370;3.375000;39.821694;42.682827;26.220063;2.733333;90.000000
334500;5.608333;3.070370;3.375000;39.821694;42.682813;26.220063;2.733333;90.000000
334600;5.608333;3.070370;3.375000;39.821694;42.682798;26.220063;2.733333;90.000000
334700;5.608333;3.070370;3.375000;39.821694;42.682784;26.220063;2.733333;90.000000
334800;5.608333;3.070370;3.375000;39.821694;42.682770;26.220063;2.733333;90.000000
334900;5.608333;3.070370;3.375000;39.821694;42.682756;26.220063;2.733333;90.000000
335000;5.608333;3.070370;3.375000;39.821694;42.682742;26.220063;2.733333;90.000000
335100;5.608333;3.070370;3.375000;39.821694;42.682728;26.220063;2.733333;90.000000
335200;5.608333;3.070370;3.375000;39.821694;42.682714;26.220063;2.733333;90.000000
335300;5.608333;3.070370;3.375000;39.821694;42.682699;26.220063;2.733333;90.000000
335400;5.616667;3.072660;3.383333;39.762611;42.629436;26.268074;2.741667;90.000000
335500;5.616667;3.072660;3.383333;39.762611;42.629422;26.268074;2.741667;90.000000
335600;5.616667;3.072660;3.383333;39.762611;42.629408;26.268074;2.741667;90.000000
335700;5.616667;3.072660;3.383333;39.762611;42.629394;26.268074;2.741667;90.000000
335800;5.616667;3.072660;3.383333;39.762611;42.629379;26.268074;2.741667;90.000000
335900;5.616667;3.072660;3.383333;39.762611;42.629365;26.268074;2.741667;90.000000
336000;5.625000;3.072482;3.391667;39.703704;42.601859;26.292768;2.750000;90.000000
336100;5.625000;3.072482;3.391667;39.703704;42.601845;26.292768;2.750000;90.000000
336200;5.625000;3.072482;3.391667;39.703704;42.601830;26.292768;2.750000;90.000000
336300;5.625000;3.072482;3.391667;39.703704;42.601816;26.292768;2.750000;90.000000
336400;5.625000;3.072482;3.391667;39.703704;42.601802;26.292768;2.750000;90.000000
336500;5.625000;3.072482;3.391667;39.703704;42.601788;26.292768;2.750000;90.000000
336600;5.625000;3.072482;3.391667;39.703704;42.601774;26.292768;2.750000;90.000000
336700;5.625000;3.072482;3.391667;39.703704;42.601760;26.292768;2.750000;90.000000
336800;5.625000;3.072482;3.391667;39.703704;42.601746;26.292768;2.750000;90.000000
336900;5.625000;3.072482;3.391667;39.703704;42.601731;26.292768;2.750000;90.000000
337000;5.625000;3.072482;3.391667;39.703704;42.601717;26.292768;2.750000;90.000000
337100;5.625000;3.072482;3.391667;39.703704;42.601703;26.292768;2.750000;90.000000
337200;5.625000;3.072482;3.391667;39.703704;42.601689;26.292768;2.750000;90.000000
337300;5.633333;3.072482;3.391667;39.792899;42.601544;26.292772;2.758333;90.000000
337400;5.633333;3.072482;3.391667;39.792899;42.601530;26.292772;2.758333;90.000000
337500;5.633333;3.072482;3.391667;39.792899;42.601516;26.292772;2.758333;90.000000
337600;5.633333;3.072482;3.391667;39.792899;42.601502;26.292772;2.758333;90.000000
337700;5.633333;3.072482;3.391667;39.792899;42.601488;26.292772;2.758333;90.000000
337800;5.633333;3.072482;3.391667;39.792899;42.601474;26.292772;2.758333;90.000000
337900;5.641667;3.067402;3.400000;39.734121;42.594124;26.299328;2.766667;90.000000
338000;5.641667;3.067402;3.400000;39.734121;42.594110;26.299328;2.766667;90.000000
338100;5.641667;3.067402;3.400000;39.734121;42.594095;26.299328;2.766667;90.000000
338200;5.650000;3.067402;3.400000;39.823009;42.593951;26.299332;2.775000;90.000000
338300;5.650000;3.067402;3.400000;39.823009;42.593937;26.299332;2.775000;90.000000
338400;5.650000;3.067402;3.400000;39.823009;42.593922;26.299332;2.775000;90.000000
338500;5.650000;3.067402;3.400000;39.823009;42.593908;26.299332;2.775000;90.000000
338600;5.650000;3.067402;3.400000;39.823009;42.593894;26.299332;2.775000;90.000000
338700;5.650000;3.067402;3.400000;39.823009;42.593880;26.299332;2.775000;90.000000
338800;5.650000;3.067402;3.400000;39.823009;42.593866;26.299332;2.775000;90.000000
338900;5.650000;3.067402;3.400000;39.823009;42.593852;26.299332;2.775000;90.000000
339000;5.650000;3.067402;3.400000;39.823009;42.593838;26.299332;2.775000;90.000000
339100;5.650000;3.067402;3.400000;39.823009;42.593824;26.299332;2.775000;90.000000
339200;5.650000;3.067402;3.400000;39.823009;42.593809;26.299332;2.775000;90.000000
339300;5.650000;3.067402;3.400000;39.823009;42.593795;26.299332;2.775000;90.000000
339400;5.650000;3.067402;3.400000;39.823009;42.593781;26.299332;2.775000;90.000000
339500;5.650000;3.067402;3.400000;39.823009;42.593767;26.299332;2.775000;90.000000
339600;5.650000;3.067402;3.400000;39.823009;42.593753;26.299332;2.775000;90.000000
339700;5.650000;3.067402;3.400000;39.823009;42.593739;26.299332;2.775000;90.000000
339800;5.658333;3.067402;3.400000;39.911635;42.593594;26.299337;2.783333;90.000000
339900;5.658333;3.067402;3.400000;39.911635;42.593580;26.299337;2.783333;90.000000
340000;5.658333;3.067402;3.400000;39.911635;42.593566;26.299337;2.783333;90.000000
340100;5.666667;3.067402;3.400000;40.000000;42.593421;26.299341;2.791667;90.000000
340200;5.666667;3.067402;3.400000;40.000000;42.593407;26.299341;2.791667;90.000000
340300;5.666667;3.067402;3.400000;40.000000;42.593393;26.299341;2.791667;90.000000
340400;5.666667;3.067402;3.400000;40.000000;42.593379;26.299341;2.791667;90.000000
340500;5.666667;3.067402;3.400000;40.000000;42.593365;26.299341;2.791667;90.000000
340600;5.666667;3.067402;3.400000;40.000000;42.593351;26.299341;2.791667;90.000000
340700;5.666667;3.067402;3.400000;40.000000;42.593336;26.299341;2.791667;90.000000
340800;5.666667;3.067402;3.400000;40.000000;42.593322;26.299341;2.791667;90.000000
340900;5.666667;3.067402;3.400000;40.000000;42.593308;26.299341;2.791667;90.000000
341000;5.666667;3.067402;3.400000;40.000000;42.593294;26.299341;2.791667;90.000000
341100;5.666667;3.067402;3.400000;40.000000;42.593280;26.299341;2.791667;90.000000
341200;5.666667;3.067402;3.400000;40.000000;42.593266;26.299341;2.791667;90.000000
341300;5.666667;3.067402;3.400000;40.000000;42.593252;26.299341;2.791667;90.000000
341400;5.666667;3.067402;3.400000;40.000000;42.593237;26.299341;2.791667;90.000000
341500;5.666667;3.067402;3.400000;40.000000;42.593223;26.299341;2.791667;90.000000
341600;5.666667;3.067402;3.400000;40.000000;42.593209;26.299341;2.791667;90.000000
341700;5.666667;3.067402;3.400000;40.000000;42.593195;26.299341;2.791667;90.000000
341800;5.666667;3.067402;3.400000;40.000000;42.593181;26.299341;2.791667;90.000000
341900;5.666667;3.067402;3.400000;40.000000;42.593167;26.299341;2.791667;90.000000
342000;5.666667;3.067402;3.400000;40.000000;42.593153;26.299341;2.791667;90.000000
342100;5.666667;3.067402;3.400000;40.000000;42.593139;26.299341;2.791667;90.000000
342200;5.666667;3.067402;3.400000;40.000000;42.593124;26.299341;2.791667;90.000000
342300;5.666667;3.067402;3.400000;40.000000;42.593110;26.299341;2.791667;90.000000
342400;5.666667;3.067402;3.400000;40.000000;42.593096;26.299341;2.791667;90.000000
342500;5.666667;3.067402;3.400000;40.000000;42.593082;26.299341;2.791667;90.000000
342600;5.666667;3.067402;3.400000;40.000000;42.593068;26.299341;2.791667;90.000000
342700;5.666667;3.067402;3.400000;40.000000;42.593054;26.299341;2.791667;90.000000
342800;5.666667;3.067402;3.400000;40.000000;42.593040;26.299341;2.791667;90.000000
342900;5.666667;3.067402;3.400000;40.000000;42.593025;26.299341;2.791667;90.000000
343000;5.666667;3.067402;3.400000;40.000000;42.593011;26.299341;2.791667;90.000000
343100;5.666667;3.067402;3.400000;40.000000;42.592997;26.299341;2.791667;90.000000
343200;5.666667;3.067402;3.400000;40.000000;42.592983;26.299341;2.791667;90.000000
343300;5.683333;3.067402;3.400000;40.175953;42.579984;26.309924;2.808333;90.000000
343400;5.683333;3.067402;3.400000;40.175953;42.579498;26.309926;2.808333;90.000000
343500;5.683333;3.067402;3.400000;40.175953;42.579484;26.309926;2.808333;90.000000
343600;5.683333;3.067402;3.400000;40.175953;42.579470;26.309926;2.808333;90.000000
343700;5.683333;3.067402;3.400000;40.175953;42.579455;26.309926;2.808333;90.000000
343800;5.683333;3.067402;3.400000;40.175953;42.579441;26.309926;2.808333;90.000000
343900;5.691667;3.067237;3.408333;40.117130;42.530010;26.354547;2.816667;90.000000
344000;5.691667;3.067237;3.408333;40.117130;42.529996;26.354547;2.816667;90.000000
344100;5.691667;3.067237;3.408333;40.117130;42.529981;26.354547;2.816667;90.000000
344200;5.691667;3.067237;3.408333;40.117130;42.529967;26.354547;2.816667;90.000000
344300;5.700000;3.062195;3.416667;40.058480;42.517168;26.366056;2.825000;90.000000
344400;5.700000;3.062195;3.416667;40.058480;42.517154;26.366056;2.825000;90.000000
344500;5.700000;3.062195;3.416667;40.058480;42.517140;26.366056;2.825000;90.000000
344600;5.700000;3.062195;3.416667;40.058480;42.517126;26.366056;2.825000;90.000000
344700;5.700000;3.062195;3.416667;40.058480;42.517112;26.366056;2.825000;90.000000
344800;5.700000;3.062195;3.416667;40.058480;42.517098;26.366056;2.825000;90.000000
344900;5.700000;3.062195;3.416667;40.058480;42.517084;26.366056;2.825000;90.000000
345000;5.700000;3.062195;3.416667;40.058480;42.517070;26.366056;2.825000;90.000000
345100;5.700000;3.062195;3.416667;40.058480;42.517055;26.366056;2.825000;90.000000
345200;5.700000;3.062195;3.416667;40.058480;42.517041;26.366056;2.825000;90.000000
345300;5.700000;3.062195;3.416667;40.058480;42.517027;26.366056;2.825000;90.000000
345400;5.700000;3.062195;3.416667;40.058480;42.517013;26.366056;2.825000;90.000000
345500;5.700000;3.062195;3.416667;40.058480;42.516999;26.366056;2.825000;90.000000
345600;5.708333;3.062195;3.416667;40.145985;42.459104;26.415648;2.833333;90.000000
345700;5.708333;3.062195;3.416667;40.145985;42.458634;26.415649;2.833333;90.000000
345800;5.716667;3.062195;3.416667;40.233236;42.458489;26.415654;2.841667;90.000000
345900;5.716667;3.062195;3.416667;40.233236;42.458475;26.415654;2.841667;90.000000
346000;5.716667;3.062195;3.416667;40.233236;42.458461;26.415654;2.841667;90.000000
346100;5.716667;3.062195;3.416667;40.233236;42.458447;26.415654;2.841667;90.000000
346200;5.716667;3.062195;3.416667;40.233236;42.458433;26.415654;2.841667;90.000000
346300;5.716667;3.062195;3.416667;40.233236;42.458418;26.415654;2.841667;90.000000
346400;5.716667;3.062195;3.416667;40.233236;42.458404;26.415654;2.841667;90.000000
346500;5.716667;3.062195;3.416667;40.233236;42.458390;26.415654;2.841667;90.000000
346600;5.716667;3.062195;3.416667;40.233236;42.458376;26.415654;2.841667;90.000000
346700;5.716667;3.062195;3.416667;40.233236;42.458362;26.415654;2.841667;90.000000
346800;5.716667;3.062195;3.416667;40.233236;42.458348;26.415654;2.841667;90.000000
346900;5.716667;3.062195;3.416667;40.233236;42.458334;26.415654;2.841667;90.000000
347000;5.716667;3.062195;3.416667;40.233236;42.458319;26.415654;2.841667;90.000000
347100;5.716667;3.062195;3.416667;40.233236;42.458305;26.415654;2.841667;90.000000
347200;5.716667;3.062195;3.416667;40.233236;42.458291;26.415654;2.841667;90.000000
347300;5.716667;3.062195;3.416667;40.233236;42.458277;26.415654;2.841667;90.000000
347400;5.716667;3.062195;3.416667;40.233236;42.458263;26.415654;2.841667;90.000000
347500;5.716667;3.062195;3.416667;40.233236;42.458249;26.415654;2.841667;90.000000
347600;5.716667;3.062195;3.416667;40.233236;42.458235;26.415654;2.841667;90.000000
347700;5.716667;3.062195;3.416667;40.233236;42.458221;26.415654;2.841667;90.000000
347800;5.716667;3.062195;3.416667;40.233236;42.458206;26.415654;2.841667;90.000000
347900;5.716667;3.062195;3.416667;40.233236;42.458192;26.415654;2.841667;90.000000
348000;5.716667;3.062195;3.416667;40.233236;42.458178;26.415654;2.841667;90.000000
348100;5.716667;3.062195;3.416667;40.233236;42.458164;26.415654;2.841667;90.000000
348200;5.716667;3.062195;3.416667;40.233236;42.458150;26.415654;2.841667;90.000000
348300;5.716667;3.062195;3.416667;40.233236;42.458136;26.415654;2.841667;90.000000
348400;5.716667;3.062195;3.416667;40.233236;42.458122;26.415654;2.841667;90.000000
348500;5.716667;3.062195;3.416667;40.233236;42.458107;26.415654;2.841667;90.000000
348600;5.716667;3.062195;3.416667;40.233236;42.458093;26.415654;2.841667;90.000000
348700;5.725000;3.057178;3.425000;40.174672;42.450643;26.422300;2.850000;90.000000
348800;5.725000;3.057178;3.425000;40.174672;42.450629;26.422300;2.850000;90.000000
348900;5.725000;3.057178;3.425000;40.174672;42.450615;26.422300;2.850000;90.000000
349000;5.733333;3.057178;3.425000;40.261628;42.450470;26.422305;2.858333;90.000000
349100;5.733333;3.057178;3.425000;40.261628;42.450456;26.422305;2.858333;90.000000
349200;5.733333;3.057178;3.425000;40.261628;42.450442;26.422305;2.858333;90.000000
349300;5.733333;3.057178;3.425000;40.261628;42.450428;26.422305;2.858333;90.000000
349400;5.733333;3.057178;3.425000;40.261628;42.450414;26.422305;2.858333;90.000000
349500;5.733333;3.057178;3.425000;40.261628;42.450400;26.422305;2.858333;90.000000
349600;5.733333;3.057178;3.425000;40.261628;42.450386;26.422305;2.858333;90.000000
349700;5.733333;3.057178;3.425000;40.261628;42.450371;26.422305;2.858333;90.000000
349800;5.733333;3.057178;3.425000;40.261628;42.450357;26.422305;2.858333;90.000000
349900;5.733333;3.057178;3.425000;40.261628;42.450343;26.422305;2.858333;90.000000
350000;5.733333;3.057178;3.425000;40.261628;42.450329;26.422305;2.858333;90.000000
350100;5.733333;3.057178;3.425000;40.261628;42.450315;26.422305;2.858333;90.000000
350200;5.733333;3.057178;3.425000;40.261628;42.450301;26.422305;2.858333;90.000000
350300;5.733333;3.057178;3.425000;40.261628;42.450287;26.422305;2.858333;90.000000
350400;5.733333;3.057178;3.425000;40.261628;42.450272;26.422305;2.858333;90.000000
350500;5.733333;3.057178;3.425000;40.261628;42.450258;26.422305;2.858333;90.000000
350600;5.733333;3.057178;3.425000;40.261628;42.450244;26.422305;2.858333;90.000000
350700;5.733333;3.057178;3.425000;40.261628;42.450230;26.422305;2.858333;90.000000
350800;5.733333;3.057178;3.425000;40.261628;42.450216;26.422305;2.858333;90.000000
350900;5.741667;3.057178;3.425000;40.348331;42.450071;26.422309;2.866667;90.000000
351000;5.741667;3.057178;3.425000;40.348331;42.450057;26.422309;2.866667;90.000000
351100;5.741667;3.057178;3.425000;40.348331;42.450043;26.422309;2.866667;90.000000
351200;5.741667;3.057178;3.425000;40.348331;42.450029;26.422309;2.866667;90.000000
351300;5.741667;3.057178;3.425000;40.348331;42.450015;26.422309;2.866667;90.000000
351400;5.741667;3.057178;3.425000;40.348331;42.450001;26.422309;2.866667;90.000000
351500;5.741667;3.057178;3.425000;40.348331;42.449987;26.422309;2.866667;90.000000
351600;5.741667;3.057178;3.425000;40.348331;42.449972;26.422309;2.866667;90.000000
351700;5.741667;3.057178;3.425000;40.348331;42.449958;26.422309;2.866667;90.000000
351800;5.741667;3.057178;3.425000;40.348331;42.449944;26.422309;2.866667;90.000000
351900;5.741667;3.057178;3.425000;40.348331;42.449930;26.422309;2.866667;90.000000
352000;5.741667;3.057178;3.425000;40.348331;42.449916;26.422309;2.866667;90.000000
352100;5.741667;3.057178;3.425000;40.348331;42.449902;26.422309;2.866667;90.000000
352200;5.741667;3.057178;3.425000;40.348331;42.449888;26.422309;2.866667;90.000000
352300;5.750000;3.054612;3.433333;40.289855;42.409548;26.458757;2.875000;90.000000
352400;5.750000;3.054612;3.433333;40.289855;42.409534;26.458757;2.875000;90.000000
352500;5.750000;3.054612;3.433333;40.289855;42.409520;26.458757;2.875000;90.000000
352600;5.750000;3.054612;3.433333;40.289855;42.409506;26.458757;2.875000;90.000000
352700;5.750000;3.054612;3.433333;40.289855;42.409491;26.458757;2.875000;90.000000
352800;5.750000;3.054612;3.433333;40.289855;42.409477;26.458757;2.875000;90.000000
352900;5.758333;3.054612;3.433333;40.376266;42.409333;26.458762;2.883333;90.000000
353000;5.758333;3.054612;3.433333;40.376266;42.409319;26.458762;2.883333;90.000000
353100;5.758333;3.054612;3.433333;40.376266;42.409304;26.458762;2.883333;90.000000
353200;5.758333;3.054612;3.433333;40.376266;42.409290;26.458762;2.883333;90.000000
353300;5.766667;3.054612;3.433333;40.462428;42.409146;26.458766;2.891667;90.000000
353400;5.766667;3.054612;3.433333;40.462428;42.409131;26.458766;2.891667;90.000000
353500;5.766667;3.054612;3.433333;40.462428;42.409117;26.458766;2.891667;90.000000
353600;5.766667;3.054612;3.433333;40.462428;42.409103;26.458766;2.891667;90.000000
353700;5.766667;3.054612;3.433333;40.462428;42.409089;26.458766;2.891667;90.000000
353800;5.775000;3.049637;3.441667;40.404040;42.408685;26.459006;2.900000;90.000000
353900;5.775000;3.049637;3.441667;40.404040;42.408671;26.459006;2.900000;90.000000
354000;5.775000;3.049637;3.441667;40.404040;42.408657;26.459006;2.900000;90.000000
354100;5.775000;3.049637;3.441667;40.404040;42.408643;26.459006;2.900000;90.000000
354200;5.775000;3.049637;3.441667;40.404040;42.408629;26.459006;2.900000;90.000000
354300;5.775000;3.049637;3.441667;40.404040;42.408615;26.459006;2.900000;90.000000
354400;5.775000;3.049637;3.441667;40.404040;42.408601;26.459006;2.900000;90.000000
354500;5.775000;3.049637;3.441667;40.404040;42.408586;26.459006;2.900000;90.000000
354600;5.775000;3.049637;3.441667;40.404040;42.408572;26.459006;2.900000;90.000000
354700;5.775000;3.049637;3.441667;40.404040;42.408558;26.459006;2.900000;90.000000
354800;5.775000;3.049637;3.441667;40.404040;42.408544;26.459006;2.900000;90.000000
354900;5.775000;3.049637;3.441667;40.404040;42.408530;26.459006;2.900000;90.000000
355000;5.775000;3.049637;3.441667;40.404040;42.408516;26.459006;2.900000;90.000000
355100;5.775000;3.049637;3.441667;40.404040;42.408502;26.459006;2.900000;90.000000
355200;5.775000;3.049637;3.441667;40.404040;42.408488;26.459006;2.900000;90.000000
355300;5.775000;3.049637;3.441667;40.404040;42.408473;26.459006;2.900000;90.000000
355400;5.775000;3.049637;3.441667;40.404040;42.408459;26.459006;2.900000;90.000000
355500;5.775000;3.049637;3.441667;40.404040;42.408445;26.459006;2.900000;90.000000
355600;5.775000;3.049637;3.441667;40.404040;42.408431;26.459006;2.900000;90.000000
355700;5.775000;3.049637;3.441667;40.404040;42.408417;26.459006;2.900000;90.000000
355800;5.775000;3.049637;3.441667;40.404040;42.408403;26.459006;2.900000;90.000000
355900;5.775000;3.049637;3.441667;40.404040;42.408389;26.459006;2.900000;90.000000
356000;5.775000;3.049637;3.441667;40.404040;42.408374;26.459006;2.900000;90.000000
356100;5.775000;3.049637;3.441667;40.404040;42.408360;26.459006;2.900000;90.000000
356200;5.775000;3.049637;3.441667;40.404040;42.408346;26.459006;2.900000;90.000000
356300;5.775000;3.049637;3.441667;40.404040;42.408332;26.459006;2.900000;90.000000
356400;5.775000;3.049637;3.441667;40.404040;42.408318;26.459006;2.900000;90.000000
